Entry_id,e_signed
3560428,0.4299986
6934997,0.8852294
5682812,0.4894011
6493191,0.77176034
8990111,0.42927098
6398494,0.60722566
3769730,0.74456966
2958721,0.75140125
9071675,0.57532454
9056321,0.81573385
1213384,0.51505125
2649891,0.54427826
5627791,0.45925856
2699043,0.7049809
6311037,0.90411246
3385813,0.6005
7004468,0.68626463
4502821,0.6792774
9839345,0.75638187
6899559,0.6515867
5983465,0.4730804
6494782,0.76008546
5646177,0.837311
2795644,0.45268562
6776905,0.70650786
3407920,0.77628475
2437855,0.59670913
8858967,0.5774971
5523257,0.5013998
8005018,0.5539681
1890237,0.60165894
8846477,0.66850287
5032836,0.61146194
4378557,0.7146347
6920639,0.4470417
6313574,0.7381604
9438177,0.5351667
1928639,0.5038053
3005304,0.42927098
3231870,0.5172046
4891253,0.3392277
1327168,0.74389935
2772888,0.5525211
8166207,0.7014114
2200507,0.74862534
4252472,0.4063646
6419188,0.78905636
3003105,0.36282086
6639359,0.4864474
7373726,0.6424655
8790471,0.75347686
7883052,0.6106218
6191229,0.19152176
2596261,0.14317764
3117436,0.4458544
2658749,0.15202136
5256194,0.3621019
3851891,0.7431768
3527594,0.8812736
8679172,0.39454943
4235216,0.46799025
9132267,0.9516121
9323397,0.42927098
3776899,0.3071623
4741751,0.48013282
3827941,0.79228085
9857271,0.8659353
4846559,0.50688714
3309505,0.43993154
8524987,0.7029174
3373460,0.60176265
2575818,0.76506454
2717104,0.5473377
3054464,0.5605009
1440697,0.8105475
1305751,0.6035885
2772342,0.5427859
7037207,0.74593145
2851430,0.44240966
1479220,0.6071503
4842467,0.6920328
3423311,0.42927098
8470131,0.34072196
7899565,0.57092303
4153723,0.76415265
4533419,0.5845429
8633564,0.78130263
2870129,0.65475315
9852116,0.7898153
7333513,0.8034383
6859022,0.72652906
9120916,0.6078481
3386783,0.4456655
4899961,0.6622972
7714891,0.42927098
7567357,0.3270112
2948337,0.55203706
2281584,0.5833947
2920619,0.63980705
3449707,0.4985735
1313983,0.55358607
6517566,0.7049167
7737371,0.571218
8031605,0.56187797
3090101,0.42927098
5601966,0.42927098
7082019,0.5341742
2367244,0.36610398
3988730,0.49901614
1662593,0.45397526
5705465,0.72286546
