Id,pm2_5
ID_M1T3S50WVB,70.49137661443012
ID_S9OZLWWLTX,67.70513036089467
ID_OC21YTIKX2,74.91320062123448
ID_BNZBP8KDYD,78.46221150061099
ID_ZS2RAN8HZT,68.79034135696038
ID_HSJA8I0X66,83.64464802595971
ID_3O2ZUT59OO,68.98922134274777
ID_LWMVVRDK4P,69.1608965519183
ID_JGEEJ9J0G7,73.60278415698862
ID_U9UG6FQVPU,46.40461001414137
ID_JXEE6DECR8,79.15767501178084
ID_X5RLD131U1,60.03569882693102
ID_FVXR6BLRXX,55.097945099073385
ID_330JO6WDMW,71.7534302669253
ID_BG678HMUDR,53.878608498177805
ID_OYTFW2XX80,47.54031699418012
ID_SJPCYBVN37,59.50017940240554
ID_1WZI08CXKU,54.82861151039178
ID_L70RX1A4HO,69.91963606812566
ID_FD2UHYPNPX,59.0897552206316
ID_9VFE89MNX4,53.37771032013152
ID_YKE7L81EVD,64.14075162388397
ID_9YA1CLRY74,54.86081417924392
ID_WGF1986WB4,45.20968603230242
ID_LOEPDPCMQI,56.65902248682485
ID_35WTU72HHD,79.22713208169237
ID_B1DKEW1CKI,72.27417257457171
ID_IWO4EVLHSQ,79.65276220087016
ID_4537KW6C3A,82.78837421806982
ID_WWMNG6XYTY,70.50821678097397
ID_KD5KKSFIKL,90.37044460774904
ID_ZU1P3K6J06,75.79950025925201
ID_71UU48C3W3,75.88714202910029
ID_ZI6G75M6Q6,81.07130858639903
ID_A9LNEJED6P,79.29329576284672
ID_11U2TQJURU,82.46341785654604
ID_3XOBL8XC7D,56.08365158687663
ID_M8V8YMCP98,50.409208865275694
ID_VZPWTV9ZDH,90.25126885886974
ID_F5UTU11EP4,74.73844485307482
ID_ZTZSZQXCHZ,66.19343094633098
ID_I5ZF9HCOGQ,74.94473942794822
ID_9D0D6WUMG1,69.8164358675414
ID_DD5CW7FTOR,71.38664477433653
ID_E7XX65XDU2,54.037890971483314
ID_J1SU4W4BZF,72.26637950021207
ID_Q6RBL64F61,64.44950331724672
ID_YZQ8L5BX18,86.82536405930088
ID_GLKF2579ON,67.87813202202888
ID_W7C8YXSXPK,75.84170549315702
ID_7G07GC5VM1,64.375963518299
ID_65452XRVJE,78.22490406709824
ID_CK7UI94H9K,69.36927471469656
ID_6HQH4D0K02,48.09235067116003
ID_FKAFYHMPSR,44.00136573505281
ID_QSIKFL7E3C,62.453819156847025
ID_O7K2PDWG93,84.85543307392618
ID_XN7O7GC7UR,76.73658490401884
ID_SJUXZLIK7B,81.1883204278508
ID_XLQJNEL0BT,82.55121875482511
ID_RMHHD1789M,72.63090028383594
ID_8MKVY3S1MA,91.54239442764123
ID_30PS9MJA57,74.71984322281955
ID_TSOY3X8CXU,76.34604818264428
ID_VPOZP0A83Q,84.09392261662256
ID_5C7Y47AKA0,79.80850124598898
ID_39YP3XODVJ,81.4567075121384
ID_135WIU9WN8,57.91341987683167
ID_IZF5E5OSFB,51.446598172545045
ID_GTES08MY9N,92.97061391703075
ID_9G8DNYIWCY,75.00747800825313
ID_0P11RLVXKB,63.320558109554085
ID_D90AKJFBPN,72.8607791674331
ID_5ERZJGEU1K,67.06166932953988
ID_S8JGW7T7QD,66.69782196179085
ID_IEMLO6MJFE,51.058891890145915
ID_6Z2UEBQP8G,68.51575946675027
ID_4US88CWADE,60.14200702744864
ID_EHVK7OZGA8,78.86340799488855
ID_R1UA6NY5DI,66.2086064819281
ID_24VX5Y6MEC,69.7135546175988
ID_83IWONCQUM,62.793536090077126
ID_LEJKPH7SL7,73.7418954422626
ID_M45JQ3KDI8,64.55706674504634
ID_NVDVNY09N2,62.07354222333491
ID_01ALZXP0DJ,46.28716501556233
ID_6NU8N45NOP,40.76985894146209
ID_N37L8RSGUY,60.3867070477451
ID_N9WDA8G4OZ,79.96619918594509
ID_AF94EODUON,70.23651506068785
ID_EUHIAJVMDS,71.98462774156322
ID_R2UCFYM17Z,78.58287136336455
ID_6NBTWSKY8V,68.53777105225379
ID_NQFT248FIP,83.80400651250173
ID_AOOQQQNB4U,69.12834581662554
ID_2J3RKVSASG,69.72117191065436
ID_B62BPN91UV,75.41417615145615
ID_V3Q0QFN3T4,68.66053548654043
ID_X2DPBR9QG5,75.07816148544899
ID_0Q5G1P1C02,51.875386284710494
ID_G6GZHXE6MO,47.72986615278424
ID_TKRAD8TEMJ,83.51350322876617
ID_XFUYPB424N,75.8253900617982
ID_ZIJKYBSBEP,67.61142472730504
ID_W3RPHCB3QY,67.48516461139268
ID_IYXUEAU8N6,62.07152111058611
ID_8OGN3JY9EX,62.1774567389285
ID_5NRO0A8JY9,47.46843941592326
ID_TSCJU796XA,65.66667959133324
ID_0C6DZY6LOS,58.152506397084764
ID_GBIXW479HQ,75.59238512490636
ID_P0756PIIJE,65.29926583211939
ID_N5UG0NNJXP,69.80378741646452
