Transaction_ID,Bills & Fees,Data & WiFi,Education,Emergency fund,Family & Friends,Going out,Groceries,Health,Loan Repayment,Miscellaneous,Rent / Mortgage,Shopping,Transport & Fuel
ID_00x9h2yx,0.08795691076275672,0.03160022608529937,0.021477700703784696,0.6167828995968784,0.11310646059586933,0.009879402161669472,0.06885077306994741,0.007745644669556041,0.04376076360299827,0.010868385375746456,0.006836453391818569,0.054342830009931564,0.026791549973743715
ID_01db594f,0.029189896194187947,0.01168476372179822,0.0014237387524391716,0.0245780070405772,0.015572398040309873,0.9437029853048826,0.020110785634529095,0.0054190578127136365,0.005194524092729373,0.009597884003728546,0.003842380533013156,0.015918298923811247,0.013765279945280193
ID_07pm99no,0.015944666856210033,0.012424457012291772,0.0015920461081738182,0.003880074783152806,0.006011196445142325,0.0680040877744785,0.043497560444161774,0.004749950404892534,0.0022176409490458344,0.8267064702480282,0.0020030113019987752,0.011726558923650996,0.10124227874877247
ID_09jryhkd,0.35054731284583746,0.009117211068441787,0.006118549813028364,0.01672151263286999,0.20469229708869063,0.16810795668927664,0.012064761693563537,0.01139923670863774,0.006575549893352219,0.2560846828536573,0.008647805165555356,0.034029194458652164,0.015893929088436707
ID_0ccv924c,0.5926916082883605,0.03465322881748105,0.008598896036481509,0.10980166525983048,0.08076112035807874,0.15367831636393303,0.011865732592111948,0.004669266424798098,0.009458088418463509,0.03878312561745538,0.029284855803907817,0.010312526003906624,0.015441570015191261
ID_0ivttwce,0.041047354710406506,0.05556499179174964,0.009055179475095912,0.030629933691544393,0.060165180838827395,0.1618537415686553,0.08388109334922113,0.02613256059336006,0.017456857421890425,0.038117648253437726,0.313381248731534,0.16430219861379708,0.09841201096048038
ID_0j1e3hks,0.03418487049273461,1.0367513394997576,0.0005903249267698165,0.0017616431480641738,0.0022464462290552986,0.003180112522869769,0.0032838428067289782,0.0009407961809945373,0.0004956877727529772,0.008542655473966435,0.0035491626360104715,0.0018549385258577588,0.0026181797844373974
ID_0jf2pe3w,0.2447954031982091,0.02779310368830778,0.003601368241392996,0.010019915966982767,0.01872364427144567,0.054161009355928685,0.06759519246350401,0.01746854075794225,0.004256292917156785,0.3782571462796328,0.0018984712069327757,0.2605941935232379,0.010835718129326405
ID_0mm4hawe,0.03773953912769106,0.014026395491754622,0.005859673375833047,0.015469165055752033,0.03825510209050396,0.1349157140358263,0.2255943430669094,0.05976285604296113,0.004251086192303518,0.01204533935153077,0.00441952838040996,0.44723193714398257,0.10042932064454155
ID_0nd2x27b,0.01286004982085347,0.021820155646344933,0.0007940845024543135,0.004173164386498892,0.011937338040051168,0.00735558944960115,0.03872288558068578,0.0022103963135265275,0.0017790538456683074,0.9887137834801516,0.0006371187272238426,0.002361574157934057,0.006634806049006103
ID_0s0y8i8f,0.004641392940305082,0.0033684447802994817,0.00016802249107647954,0.0009365713430246044,0.004148699471578744,0.0020351741828564234,0.01159116930552741,0.001113831847550108,0.00029143105154905055,1.0693889751196244,0.00028086873501525193,0.0007898099399478055,0.0012456087916450633
ID_0s394wg4,0.15573423047495766,0.17734511033586756,0.001032398186547746,0.008052075528857729,0.01869062305375328,0.013327388570614287,0.44712467018289914,0.0037882259495906683,0.0031488441299026624,0.2366430634987843,0.0013871238194968314,0.009213260652627009,0.024512985616101123
ID_0s8q8hnm,0.06793304300925357,0.051506819431382925,0.02681878127720363,0.33651496096035094,0.030434433721220105,0.1427238159841878,0.05921253230332132,0.013830995951907607,0.1114621684567491,0.03532626045049432,0.031188368869367388,0.12841694555966104,0.06463087402490045
ID_0vu9s4tx,0.015488919430761451,1.0666444146485177,0.00034327412488369206,0.0016383296737812517,0.0014567739401932425,0.0018380384995315918,0.0017394312595197757,0.0005897652609635217,0.000311529277544094,0.006107027348831414,0.001551706608553544,0.0011686180375415874,0.0011221718893769383
ID_0wzvo8c5,0.3416468048014635,0.010595630470233184,0.0036617236411512436,0.01422430965230823,0.22527527706733164,0.03538058994734923,0.03888542420784099,0.005140629270493217,0.004838470998886757,0.36239943344306763,0.009059678634711703,0.024719540131681185,0.024172487733481452
