Id,Bills & Fees,Data & WiFi,Education,Emergency fund,Family & Friends,Going out,Groceries,Health,Loan Repayment,Miscellaneous,Rent / Mortgage,Shopping,Transport & Fuel
ID_gqase66n,0.03919287198758534,0.013403937947877765,0.008066788367267758,0.007210864680538478,0.010075718392937253,0.7263677096170299,0.07966334099307888,0.006527505678493503,0.01265737213647967,0.014928741582693313,0.014542184284946184,0.024413362328917512,0.042949592018376434
ID_81rystyl,0.04597028521665339,0.7186405031388102,0.0031494002631560943,0.013662987759246735,0.02885612906025688,0.02106429595463207,0.038433634336589924,0.006206220607889372,0.005510426134302179,0.08082336222260136,0.004447550282471402,0.01475778959065108,0.018477429803046598
ID_xmtv3qil,0.013331754173838363,0.877573717839473,0.0016541445868717922,0.003950487543417461,0.007925916022695174,0.012110029589921268,0.019945825449306235,0.0022887659400878915,0.002315236883851499,0.03389420647406716,0.002115682229943859,0.0071908676849000595,0.015703381930993982
ID_wz92zfhd,0.00716890695949421,0.006418115965040117,0.001014222493119966,0.002252783227802168,0.0035152061535862825,0.012432829245370395,0.025660577882373335,0.0017187740946692457,0.001634880832851938,0.9238792217681013,0.0013892292772352314,0.0025612943997692017,0.010353971675081817
ID_ogyrecgz,0.006643908578095686,0.0061611072039080466,0.0010035027748833438,0.0021839511535681304,0.0034198183069783727,0.01240993870395314,0.027633090988541963,0.0017126007799101648,0.0015682639173871678,0.9226288558964504,0.0013738338221009516,0.0025890142167235455,0.010672124541167508
ID_2h89w814,0.00982914383663986,0.8885048907513141,0.0015063804419708482,0.003254864216860756,0.005210353690684778,0.011452581167530155,0.020676969124870534,0.0020629177718814147,0.001915585419265677,0.028629512809380836,0.0018681745238842958,0.00636288617856097,0.018725776381751165
ID_ofympoh2,0.010224481915013149,0.8922499813912168,0.0014813066445126817,0.0031708161588775994,0.0052539087255071264,0.011606910592348646,0.01843447400951805,0.0020156124114929543,0.0019296685004275426,0.028025493910461503,0.001843836565490736,0.006092485492774513,0.017671014851092466
ID_0nd2x27b,0.00716890695949421,0.006418115965040117,0.001014222493119966,0.002252783227802168,0.0035152061535862825,0.012432829245370395,0.025660577882373335,0.0017187740946692457,0.001634880832851938,0.9238792217681013,0.0013892292772352314,0.0025612943997692017,0.010353971675081817
ID_ndje6wd4,0.010224481915013149,0.8922499813912168,0.0014813066445126817,0.0031708161588775994,0.0052539087255071264,0.011606910592348646,0.01843447400951805,0.0020156124114929543,0.0019296685004275426,0.028025493910461503,0.001843836565490736,0.006092485492774513,0.017671014851092466
ID_t1b2rj8j,0.006375253852252289,0.9635241605090437,0.0007051912992608475,0.0018360113842957305,0.004263515505149843,0.002307751087180552,0.0036666538296973297,0.0040699497865227495,0.0009274250646559519,0.006250225190932692,0.000771019763441502,0.0032293989130247106,0.002073469593550897
ID_416hrvpe,0.008091137928009785,0.0065114721876026495,0.0009918307423242003,0.002463212133083303,0.003947521970616935,0.011824228912969196,0.023907366791587822,0.0016752671615392599,0.0017953754041899282,0.9260176476507087,0.0013744195192896234,0.002830380295319196,0.008570153009499374
ID_j34f0v39,0.00814407143743393,0.9622484062550021,0.000707169243267233,0.0023159697458385257,0.004083565455964057,0.0019862146742535332,0.0030019186195599217,0.0038561272671084838,0.0010310661884312595,0.00693238815251799,0.0007801310157280479,0.0032143121551436666,0.0016986418140614416
ID_kt3hch74,0.017044294297662434,0.006941556148349371,0.0018671124139995243,0.002869987287156801,0.005105773788284666,0.022332020076614677,0.9022803189158266,0.0036110454819059776,0.004422065447225941,0.007699351087432634,0.0026457385195933422,0.013114735726788998,0.010065990138530562
ID_3jnvetig,0.19590510438421782,0.017656345336867024,0.0101378835268225,0.3688457992525182,0.028119576226544547,0.03952791260123904,0.1528440142640207,0.016115510476985506,0.019023961556819725,0.021493499629617392,0.022852435832955886,0.09089249848102665,0.016585469354778802
ID_zym0pkxl,0.026531902511994387,0.012636545746702622,0.0032638797557635137,0.02658783082826224,0.8247233314705873,0.006228546034919046,0.025871806513325192,0.02607399109260148,0.011945270108114898,0.007932881680561912,0.006277103963057596,0.016059678806563383,0.005867238255933274
ID_aoyfx4p3,0.17331075847124344,0.03406289423404099,0.012140924856058912,0.019546037931375684,0.05978625467234566,0.1167746780876072,0.21795835495265392,0.031499381866924386,0.07498902130394651,0.09250590837302196,0.012113601987892672,0.062364862151676,0.0929473140145346
ID_gtj1tfjf,0.16714825251169707,0.03362535695815143,0.0121644853579067,0.019399005971285327,0.059601431373192945,0.12027225172448752,0.2281210227035707,0.031547656126423865,0.06683570628467403,0.09233276139191493,0.012230664311710637,0.06417242205833784,0.09254901403479773
ID_hikt0irm,0.15071546781512368,0.0064468806098794615,0.003690550945922441,0.7332479673904897,0.011207584794751844,0.007815971585706447,0.03254691488647203,0.005043187077586532,0.004805078508033,0.008016651818813654,0.0033373605605262627,0.02854566864836547,0.004580725630817457
ID_cl65jmri,0.19866407676941147,0.72753756302698,0.0021118247585973794,0.005122708588365944,0.0067823023923548435,0.006685421978827275,0.01053618680656249,0.012614095079613521,0.002581562828476063,0.009594196592934725,0.0023725447791185777,0.008447245924259335,0.006950289280229407
ID_f1mv2nua,0.016653573750535063,0.0067812810186663654,0.0017887967837021564,0.002771396925340597,0.004956332780741075,0.02176617010159557,0.9046553264524593,0.0035067822876217896,0.004270635008053867,0.0075581257697815065,0.002539068029797733,0.012807862007647294,0.009944680183246941
ID_rgnrrv5b,0.014995163986022204,0.006469065580873754,0.001696741893557748,0.002591578910242789,0.004637112732262755,0.021270584402252365,0.9092056745265689,0.003335514517423746,0.0038756707774228656,0.007155725737387143,0.002395933611652682,0.012731935683211286,0.009639333047677872
ID_01db594f,0.09008497972855091,0.009599732371107996,0.004347360648782965,0.01279088683532058,0.019764487239694904,0.766633851657816,0.03034867057854221,0.011309360004477628,0.0066125317936661186,0.0073826954356766275,0.005126668368164378,0.025565969819312966,0.010432808038114354
